listingId,vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
41499995,Pickup,False,1,russellville,AR,collierville,TN,234.375,225.0,0.96,0,0,0,0,0,0,1,0,0,0,0
41499995,SUV,True,1,scott,AR,malden,MO,240.96385542168676,200.0,0.83,0,0,0,0,0,1,0,0,0,0,0
41499995,Pickup,False,1,conway,AR,sikeston,MO,288.46153846153845,225.0,0.78,0,0,0,0,0,0,1,0,0,0,0
41404913,Pickup,False,1,north little rock,AR,merriam,KS,428.5714285714286,300.0,0.7,0,0,0,0,0,0,1,0,0,0,0
41404913,"Car, Pickup",False,2,searcy,AR,belton,MO,847.4576271186442,500.0,0.59,0,0,0,1,0,0,1,0,0,0,0
41404913,Car,False,1,north little rock,AR,kansas city,MO,438.5964912280702,250.0,0.57,0,0,0,1,0,0,0,0,0,0,0
41404913,SUV,False,1,little rock,AR,overland park,KS,438.5964912280702,250.0,0.57,0,0,0,0,0,1,0,0,0,0,0
41404913,Car,False,1,north little rock,AR,belton,MO,394.7368421052632,225.0,0.57,0,0,0,1,0,0,0,0,0,0,0
41470791,Car,False,1,memphis,TN,linden,NJ,1071.4285714285713,600.0,0.56,0,0,0,1,0,0,0,0,0,0,0
41470791,Car,False,1,memphis,TN,linden,NJ,1071.4285714285716,450.0,0.41999999999999993,0,0,0,1,0,0,0,0,0,0,0
41470791,Car,False,1,memphis,TN,newark,NJ,1089.7435897435896,425.0,0.39000000000000007,0,0,0,1,0,0,0,0,0,0,0
41470791,Car,False,1,memphis,TN,jersey city,NJ,1105.2631578947369,420.0,0.38,0,0,0,1,0,0,0,0,0,0,0
41470791,Car,False,1,memphis,TN,bayonne,NJ,1081.081081081081,400.0,0.37,0,0,0,1,0,0,0,0,0,0,0
41395137,Car,False,1,conway,AR,elizabethville,PA,1111.111111111111,500.0,0.45,0,0,0,1,0,0,0,0,0,0,0
41395137,Car,False,1,conway,AR,linden,NJ,1283.7837837837837,475.0,0.37,0,0,0,1,0,0,0,0,0,0,0
41395137,Car,False,1,conway,AR,newark,NJ,1250.0,450.0,0.36,0,0,0,1,0,0,0,0,0,0,0
41395137,Car,False,1,conway,AR,linden,NJ,1250.0,400.0,0.32,0,0,0,1,0,0,0,0,0,0,0
41395137,Car,False,1,conway,AR,linden,NJ,1250.0,400.0,0.32,0,0,0,1,0,0,0,0,0,0,0
41480861,Car,False,1,texarkana,AR,perkiomenville,PA,1293.103448275862,750.0,0.58,0,0,0,1,0,0,0,0,0,0,0
41480861,Car,False,1,jefferson,TX,belle mead,NJ,1395.3488372093022,600.0,0.43000000000000005,0,0,0,1,0,0,0,0,0,0,0
41480861,Car,False,1,longview,TX,irvington,NJ,1447.3684210526317,550.0,0.37999999999999995,0,0,0,1,0,0,0,0,0,0,0
41480861,Car,False,1,greenwood,LA,linden,NJ,1428.5714285714287,500.0,0.35,0,0,0,1,0,0,0,0,0,0,0
41480861,Car,False,1,longview,TX,roselle,NJ,1470.5882352941176,500.0,0.34,0,0,0,1,0,0,0,0,0,0,0
41504054,Car,False,1,hot springs national park,AR,etowah,NC,722.8915662650603,600.0,0.83,0,0,0,1,0,0,0,0,0,0,0
41504054,Car,False,1,n little rock,AR,greenville,SC,655.7377049180328,400.0,0.61,0,0,0,1,0,0,0,0,0,0,0
41504054,Car,False,1,white hall,AR,pooler,GA,787.037037037037,425.0,0.54,0,0,0,1,0,0,0,0,0,0,0
41504054,Car,False,1,scott,AR,savannah,GA,754.7169811320755,400.0,0.53,0,0,0,1,0,0,0,0,0,0,0
41504054,Car,False,1,north little rock,AR,savannah,GA,750.0,375.0,0.5,0,0,0,1,0,0,0,0,0,0,0
41478618,Other,False,1,springfield,MO,draper,UT,1262.135922330097,1300.0,1.03,0,0,0,0,0,0,0,1,0,0,0
41478618,Car,False,1,springfield,MO,lehi,UT,1272.7272727272725,700.0,0.55,0,0,0,1,0,0,0,0,0,0,0
41478618,Car,False,1,tulsa,OK,salt lake city,UT,1227.2727272727273,675.0,0.55,0,0,0,1,0,0,0,0,0,0,0
41478618,SUV Small,False,0,centerton,AR,north ogden,UT,1300.0,650.0,0.5,0,0,0,0,0,0,0,0,0,0,0
41478618,Car,False,1,Collinsville,OK,Salt Lake City,UT,1224.4897959183675,600.0,0.48999999999999994,0,0,0,1,0,0,0,0,0,0,0
41468631,Car,False,1,little rock,AR,richmond,VA,961.5384615384615,750.0,0.78,0,0,0,1,0,0,0,0,0,0,0
41468631,SUV,False,1,jonesboro,AR,gloucester,VA,952.3809523809524,600.0,0.63,0,0,0,0,0,1,0,0,0,0,0
41468631,Car,False,1,cabot,AR,wake forest,NC,882.3529411764706,450.0,0.51,0,0,0,1,0,0,0,0,0,0,0
41468631,Sedan Small,False,1,hot springs national park,AR,providence forge,VA,1041.6666666666667,500.0,0.48,0,0,0,1,0,0,0,0,0,0,0
41468631,Car,False,1,rogers,AR,portsmouth,VA,1250.0,600.0,0.48,0,0,0,1,0,0,0,0,0,0,0
41427166,Sedan Small,False,1,eureka spgs,AR,kent,WA,2129.6296296296296,1150.0,0.54,0,0,0,1,0,0,0,0,0,0,0
41427166,Car,False,1,springdale,AR,sunnyside,WA,1938.7755102040817,950.0,0.49,0,0,0,1,0,0,0,0,0,0,0
41427166,Car,False,1,bentonville,AR,seattle,WA,2093.0232558139537,900.0,0.42999999999999994,0,0,0,1,0,0,0,0,0,0,0
41427166,Car,False,1,springfield,MO,snoqualmie,WA,2051.2820512820513,800.0,0.39,0,0,0,1,0,0,0,0,0,0,0
41427166,Car,False,1,prescott,KS,tacoma,WA,1973.6842105263158,750.0,0.38,0,0,0,1,0,0,0,0,0,0,0
41404733,Car,False,1,scottsdale,AZ,huntsville,AL,1627.906976744186,700.0,0.43,0,0,0,1,0,0,0,0,0,0,0
41404733,Car,False,1,scottsdale,AZ,birmingham,AL,1710.5263157894738,650.0,0.38,0,0,0,1,0,0,0,0,0,0,0
41404733,Sedan Small,False,1,phoenix,AZ,huntsville,AL,1666.6666666666667,600.0,0.36,0,0,0,1,0,0,0,0,0,0,0
41404733,Car,False,1,chandler,AZ,hoover,AL,1666.6666666666665,550.0,0.33,0,0,0,1,0,0,0,0,0,0,0
