listingId,formattedCompany,comparable,delivery.state,delivery.latitude,delivery.longitude,delivery.city,numVehicles,vehiclesCount,vehicleOperable,vehicles,vehicle_make,vehicle_types,wideLoad,pickup.state,pickup.latitude,pickup.longitude,pickup.city,preferred_shipper,price,truckMiles,rating_count,rating_license,rating_score
41493694,"American Car Transporters, Inc",True,IA,41.761014,-92.445111,brooklyn,1,1,True,(Motorcycle),2006 bourgett dragon,(Motorcycle),0,PA,41.732545,-76.459705,towanda,False,550,943,1641,valid,99.9%
41484722,National Transport,True,ID,42.313972,-114.659529,twin falls,1,1,True,(Car),1987 porsche 924,(Car),0,PA,40.805608,-77.902466,state college,False,1200,2151,2342,valid,100.0%
41505800,Carsarrive Network Inc.,True,IL,41.768946,-88.135081,naperville,1,1,True,(Car),2015 audi audi q7 3.0t suv daytona gray pearl effe,(Car),0,PA,40.573712,-75.481788,allentown,False,488,757,953,valid,99.4%
41438053,"Global Logistic Partners, Inc.",True,IL,40.502200,-90.197912,cuba,1,1,True,(Car),1973 oldsmobile cutlass,(Car),0,PA,40.573712,-75.481788,allentown,False,750,867,47,valid,100.0%
41388973,Secure Auto Shipping Inc. 1,True,IL,41.768946,-88.135081,naperville,1,1,True,(Car),1965 ford mustang convertible,(Car),0,PA,40.601300,-75.460000,bethlehem,False,400,759,2001,valid,100.0%
41504709,USA Auto Carrier Inc 1,False,IL,41.874472,-87.650064,chicago,1,1,True,(SUV),1951 jeep willie,(SUV),0,PA,39.739971,-77.465786,blue ridge summit,False,349,631,359,valid,100.0%
41481360,"Baltic Auto Shipping, Inc",True,IL,41.787007,-87.771665,chicago,1,1,False,(Other),2006 ford super duty f-450 drw,(Other),0,PA,40.078953,-75.305532,conshohocken,False,750,754,1054,valid,99.6%
41441716,Auto Warehouse,True,IL,42.352672,-87.862131,waukegan,1,1,True,(SUV),2010 ford escape,(SUV),0,PA,41.922375,-79.685038,corry,False,325,508,22,valid,100.0%
41506575,"Baltic Auto Shipping, Inc",True,IL,41.931285,-88.007188,addison,1,1,True,(Car),2011 toyota prius,(Car),0,PA,41.922375,-79.685038,corry,False,425,488,1054,valid,99.6%
41505842,Auto Warehouse,True,IL,42.352672,-87.862131,waukegan,1,1,True,(Car),2012 honda civic cpe,(Car),0,PA,40.708769,-80.101183,cranberry township,False,300,490,22,valid,100.0%
41405769,Reindeer Logistics Inc. (prev. Reindeer Au...,True,IL,42.016286,-88.234631,elgin,1,1,True,(Car),1979 porsche 911,(Car),0,PA,41.354460,-75.773762,duryea,False,425,735,980,valid,99.4%
41502458,Auto Warehouse,True,IL,42.352672,-87.862131,waukegan,1,1,True,(Van),2008 dodge grand caravan,(Van),0,PA,40.096318,-76.350980,east petersburg,False,300,728,22,valid,100.0%
41473938,"Friends Auto Sales, Inc",True,IL,42.324046,-88.212894,holiday hills,1,1,True,(SUV),2006 ford expedition,(SUV),0,PA,39.867196,-75.282356,essington,False,400,819,176,valid,100.0%
41480528,United Cargo Shipping Inc,True,IL,41.896120,-88.212409,west chicago,1,1,True,(Van),2015 ford transit cargo van,(Van),0,PA,41.818266,-79.444369,garland,False,450,521,13,valid,100.0%
41507623,Ready Auto Transport (RAT),True,IL,40.788540,-87.731789,watseka,1,1,True,(Other),2014 gmc acadia,(Other),0,PA,40.542613,-79.955230,glenshaw,False,410,509,1697,valid,99.9%
41491843,Auto Warehouse,True,IL,41.946011,-87.746765,chicago,1,1,True,(SUV),2006 gmc yukon (fleet),(SUV),0,PA,40.413210,-76.677038,grantville,False,300,683,22,valid,100.0%
41432899,Direct Connect Auto Transport Inc.,True,IL,40.612973,-88.804030,lexington,1,1,True,(Pickup),2009 ford f-150,(Pickup),0,PA,40.316734,-79.724204,irwin,False,350,578,1945,valid,99.8%
41507652,Ready Auto Transport (RAT),True,IL,41.903614,-88.735036,dekalb,1,1,True,(Other),2015 buick lacrosse,(Other),0,PA,40.816818,-79.498640,kittanning,False,410,547,1697,valid,99.9%
41453172,Royal Auto Chicago Inc,True,IL,41.946011,-87.746765,chicago,1,1,True,(Van),2009 volkswagen routan,(Van),0,PA,40.169738,-76.438133,manheim,False,350,695,48,valid,97.9%
41486667,"Gmotorcars, Inc",True,IL,42.062685,-87.925548,mount prospect,1,1,True,(SUV),2014 honda cr-v,(SUV),0,PA,40.169738,-76.438133,manheim,False,300,711,159,valid,100.0%
41495770,"Metro Auto Traders, Inc (prev. Maz Auto In...",True,IL,42.047211,-87.894388,des plaines,1,1,True,(Car),2008 volvo xc70 (fleet),(Car),0,PA,40.169738,-76.438133,manheim,False,350,708,78,valid,100.0%
41501939,Autotransport.com,True,IL,41.900143,-87.635914,chicago,2,2,True,"(Car, SUV)","2014 mercedes-benz e class
 2014 mercedes-benz ml class","(Car, SUV)",0,PA,40.169738,-76.438133,manheim,False,600,689,1291,valid,92.5%
41501954,Autotransport.com,True,IL,41.768946,-88.135081,naperville,1,1,True,(SUV),2014 mercedes-benz gl class,(SUV),0,PA,40.169738,-76.438133,manheim,False,400,715,1291,valid,92.5%
41504475,Highline Auto Sales Inc,True,IL,41.742901,-87.934676,Willowbrook,1,1,True,(SUV),2014 mercedes-benz ml450,(SUV),0,PA,40.169738,-76.438133,Manheim,False,350,703,14,valid,100.0%
41506685,"SAI Transportation, Inc.",True,IL,41.903625,-87.675881,chicago,1,1,True,(Car),2014 lexus ls 460,(Car),0,PA,40.169738,-76.438133,manheim,False,350,689,244,valid,100.0%
41465011,BWT Group LLC,True,IL,39.755006,-89.631625,springfield,1,1,True,(Other),1995 jeep wrangler,(Other),0,PA,39.950728,-77.989534,mc connellsburg,False,425,686,1036,valid,98.6%
41416547,Bellaroma Auto,True,IL,41.670964,-87.737048,alsip,1,1,True,(Van),2008 ford e van,(Van),0,PA,40.175227,-76.993490,mechanicsburg,False,500,649,349,valid,99.6%
41496950,BWT Group LLC,True,IL,42.289506,-87.869862,lake bluff,1,1,True,(Pickup),2003 ford f150,(Pickup),0,PA,40.353916,-75.001612,new hope,False,465,797,1036,valid,98.6%
41503332,Blue Star Auto Movers,True,IL,42.119974,-87.840922,northbrook,1,1,True,(Car),2015 mercedes-benz s550,(Car),0,PA,40.443428,-79.954968,pittsburgh,False,400,488,1522,valid,99.9%
41473381,WorldWide Shipping LLC,True,IL,40.136270,-87.644780,danville,1,1,True,(Van),1998 dodge caravan,(Van),0,PA,40.215802,-75.072952,warminster,False,400,738,226,valid,100.0%
41371976,Chicago Motors Inc.,True,IL,41.903625,-87.675881,chicago,1,1,False,(Car),2007 chevrolet impala,(Car),0,PA,40.018505,-76.655886,york,False,350,681,283,valid,100.0%
41502628,Schepel Buick Gmc Inc,True,IN,41.480962,-87.316428,merrillville,1,1,True,(Van),2016 gmc savana cargo van,(Van),0,PA,40.350032,-75.682434,boyertown,False,350,709,24,valid,100.0%
41485953,USA Auto Carrier Inc 1,False,IN,41.480962,-87.316428,merrillville,1,1,True,(SUV),2015 lexus rx 450h,(SUV),0,PA,40.169738,-76.438133,manheim,False,275,670,359,valid,100.0%
41489066,Schepel Buick Gmc Inc,True,IN,41.480962,-87.316428,merrillville,1,1,True,(Pickup),2006 chevrolet silverado 2500hd,(Pickup),0,PA,40.169738,-76.438133,manheim,False,350,670,24,valid,100.0%
41503118,Reo Ford Center Inc,True,IN,37.892760,-87.130114,rockport,1,1,True,(Pickup),2013 ford f-150,(Pickup),0,PA,40.169738,-76.438133,manheim,False,600,700,1,valid,100.0%
41500086,Carplex Inc,True,IN,39.844700,-86.266276,Indianapolis,1,1,True,(SUV),2014 chevrolet equinox,(SUV),0,PA,40.471952,-80.109288,Mckees Rocks,False,340,366,214,valid,100.0%
41404696,AmeriFleet Transportation Inc.,True,IN,39.795098,-86.287729,indianapolis,1,1,True,(Car),2015 subaru outback,(Car),0,PA,40.338018,-79.850124,mckeesport,False,350,371,815,valid,100.0%
41460524,Upscale Auto Transport,True,IN,39.885810,-85.973834,indianapolis,1,1,True,(SUV),2012 ford explorer,(SUV),0,PA,40.246976,-77.023234,mechanicsburg,False,300,525,1062,valid,100.0%
