vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
SUV,False,1,birmingham,AL,tucker,GA,176.05633802816902,125.0,0.71,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,dothan,AL,tucker,GA,230.76923076923077,150.0,0.65,0,0,0,0,0,1,0,0,0,0,0
Pickup,False,1,decatur,AL,west monroe,LA,453.60824742268045,440.0,0.97,0,0,0,0,0,0,1,0,0,0,0
Car,False,1,birmingham,AL,hammond,LA,367.6470588235294,250.0,0.68,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,moody,AL,bossier city,LA,476.1904761904762,300.0,0.63,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,moody,AL,shreveport,LA,474.1379310344828,275.0,0.58,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,moody,AL,monroe,LA,377.35849056603774,200.0,0.53,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,mount juliet,TN,johnston,RI,1052.6315789473686,600.0,0.57,0,0,0,1,0,0,0,0,0,0,0
Sedan Midsize,False,1,madison,AL,hudson,MA,1145.8333333333335,550.0,0.4799999999999999,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,murfreesboro,TN,sudbury,MA,1097.5609756097563,450.0,0.4099999999999999,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,nashville,TN,amherst,MA,1052.6315789473683,400.0,0.38000000000000006,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,madison,AL,hudson,MA,1145.7142857142858,401.0,0.35,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,tanner,AL,detroit,MI,645.1612903225806,400.0,0.62,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,birmingham,AL,taylor,MI,720.3389830508474,425.0,0.59,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,nashville,TN,detroit,MI,545.4545454545454,300.0,0.55,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,brentwood,TN,novi,MI,555.5555555555555,300.0,0.54,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,chattanooga,TN,dearborn,MI,611.1111111111111,275.0,0.45,0,0,0,1,0,0,0,0,0,0,0
SUV,False,1,orange beach,AL,harbor beach,MI,1122.6415094339623,595.0,0.53,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,milton,FL,dearborn heights,MI,943.3962264150942,500.0,0.53,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,moss point,MS,romeo,MI,1041.6666666666667,500.0,0.48,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,orange beach,AL,detroit,MI,1010.6382978723404,475.0,0.47,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,eight mile,AL,oak park,MI,978.2608695652174,450.0,0.46,0,0,0,0,0,1,0,0,0,0,0
Pickup,False,1,jasper,AL,watertown,SD,1122.4489795918369,1100.0,0.9799999999999999,0,0,0,0,0,0,1,0,0,0,0
Car,False,1,montgomery,AL,saint paul,MN,1176.4705882352941,600.0,0.51,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,marietta,GA,chanhassen,MN,1111.111111111111,500.0,0.45,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,atlanta,GA,wayzata,MN,1125.0,450.0,0.4,0,0,0,1,0,0,0,0,0,0,0
