vehicles,in_operation,num_vehicles,origin,destination,price,miles
Car,0,1,"fresno, CA","upland, CA",200,256.41
Van,0,1,"pasadena, CA","oakland, CA",325,373.563
SUV,0,1,"gardena, CA","fresno, CA",150,238.095
SUV,0,1,"rocklin, CA","reno, NV",300,115.83
SUV,0,1,"buellton, CA","valencia, CA",125,122.549
Sedan Small,1,1,"sacramento, CA","redlands, CA",250,446.429
Car,0,1,"s san francisco, CA","el monte, CA",175,397.727
SUV,0,1,"bryn mawr, CA","chico, CA",550,533.981
Pickup Crew Cab,0,1,"san francisco, CA","la mesa, CA",300,508.475
Car,0,1,"fontana, CA","long beach, CA",75,60
SUV,1,1,"martinez, CA","inglewood, CA",175,388.889
Car,0,1,"oceanside, CA","west sacramento, CA",250,480.769
Sedan Midsize,0,1,"fremont, CA","fortuna, CA",450,283.019
Car,0,1,"santa monica, CA","palm springs, CA",150,119.048
Car,0,1,"fairfield, CA","sacramento, CA",55,49.1071
Car,0,1,"sacramento, CA","hayward, CA",85,110.39
SUV,0,1,"riverside, CA","roseville, CA",165,458.333
Car,0,1,"morgan hill, CA","w sacramento, CA",150,133.929
Sedan Midsize,0,1,"garden grove, CA","sacramento, CA",200,408.163
Car,0,1,"anaheim, CA","san juan capistrano, CA",75,40.9836
Van,0,1,"victorville, CA","chico, CA",500,500
SUV,0,1,"temecula, CA","san jose, CA",300,434.783
Pickup Crew Cab,0,1,"indio, CA","arcata, CA",550,774.648
Car,0,1,"roseville, CA","hayward, CA",85,119.718
Car,1,1,"gardena, CA","pacoima, CA",75,33.9367
Van Mini,1,1,"fremont, CA","north hollywood, CA",200,344.828
Sedan Small,0,1,"santa clara, CA","san diego, CA",250,454.545
Car,0,1,"glendale, CA","murrieta, CA",100,86.9565
Car,0,1,"fremont, CA","san diego, CA",250,462.963
Van,0,1,"los angeles, CA","fontana, CA",80,66.1157
Car,0,1,"hayward, CA","national city, CA",250,490.196
Car,0,1,"lodi, CA","sacramento, CA",100,34.965
Car,1,1,"ontario, CA","oak view, CA",125,115.741
SUV,1,1,"fresno, CA","carson, CA",150,230.769
SUV,0,1,"roseville, CA","hayward, CA",85,118.056
SUV,0,1,"reno, NV","hayward, CA",200,240.964
Car,0,1,"fresno, CA","camarillo, CA",250,229.358
Other,0,1,"sun valley, CA","ontario, CA",75,50
Car,0,1,"national city, CA","tracy, CA",300,441.176
SUV,0,1,"reno, NV","seaside, CA",300,333.333
Car,0,1,"San Jose, CA","Modesto, CA",55,88.7097
SUV,0,1,"los angeles, CA","redwood city, CA",325,357.143
SUV,0,1,"san diego, CA","san jose, CA",350,466.667
Car,0,1,"santa monica, CA","chico, CA",400,481.928
Car,0,1,"yorba linda, CA","el cerrito, CA",180,418.605
Car,0,1,"oceanside, CA","south san francisco, CA",275,474.138
Car,0,1,"newport beach, CA","oakland, CA",190,413.043
SUV,0,1,"castaic, CA","bakersfield, CA",80,57.971
SUV,1,1,"martinez, CA","gardena, CA",170,386.364
