vehicles,in_operation,num_vehicles,origin,destination,price,miles,total_weight
Car,1,1,"oakland, CA","riverside, CA",180,418.605,3497
Car,1,1,"fremont, CA","carson, CA",175,372.34,3497
Car,0,1,"hayward, CA","san diego, CA",225,478.723,3497
Car,0,1,"san diego, CA","sun valley, CA",100,133.333,3497
SUV,0,1,"santa rosa, CA","santa fe springs, CA",200,454.545,4259
Car,1,1,"moorpark, CA","richmond, CA",275,387.324,3497
Car,0,1,"van nuys, CA","bakersfield, CA",90,85.7143,3497
Car,0,1,"redding, CA","tracy, CA",155,238.462,3497
Car,0,1,"van nuys, CA","compton, CA",100,34.965,3497
SUV,0,1,"anaheim, CA","anaheim, CA",55,7.99419,4259
Car,0,1,"long beach, CA","plumas lake, CA",400,449.438,3497
Car,0,1,"carlsbad, CA","san carlos, CA",400,465.116,3497
Pickup,0,1,"north hills, CA","central point, OR",600,681.818,6000
SUV,0,1,"baldwin park, CA","san francisco, CA",250,396.825,4259
"Car, Car",0,2,"south san francisco, CA","corona, CA",350,897.436,6994
Car,1,1,"hayward, CA","long beach, CA",200,392.157,3497
SUV,0,1,"lancaster, CA","porterville, CA",175,147.059,4259
Car,0,1,"hayward, CA","san jose, CA",150,30.9917,3497
Car,0,1,"upland, CA","san diego, CA",100,113.636,3497
SUV,0,1,"lemoore, CA","santa fe springs, CA",150,214.286,4259
Car,0,1,"hayward, CA","richmond, CA",125,29.0023,3497
"Car, Car, Car, Car, Car, SUV, SUV",0,7,"fontana, CA","irvine, CA",1120,395.76,26003
Car,0,1,"newport beach, CA","sacramento, CA",200,434.783,3497
Car,0,1,"paramount, CA","san diego, CA",100,102.041,3497
Car,0,1,"gardena, CA","fresno, CA",150,241.935,3497
SUV,0,1,"san diego, CA","long beach, CA",150,110.294,4259
SUV,1,1,"sacramento, CA","richmond, CA",125,82.2368,4259
SUV,0,1,"fontana, CA","paramount, CA",75,50,4259
Pickup,0,1,"gardena, CA","carmichael, CA",400,412.371,6000
Car,0,1,"upland, CA","san diego, CA",100,117.647,3497
SUV,0,1,"del mar, CA","gardena, CA",100,98.0392,4259
2 Car,0,1,"san francisco, CA","san diego, CA",500,1000,6994
SUV,0,1,"west hollywood, CA","redding, CA",500,537.634,4259
SUV,1,1,"rancho cucamonga, CA","montebello, CA",70,41.9162,4259
Car,0,1,"san jose, CA","sacramento, CA",100,131.579,3497
"SUV, SUV",0,2,"san diego, CA","encino, CA",400,283.688,8518
SUV,0,1,"seaside, CA","sacramento, CA",250,196.85,4259
Car,0,1,"tustin, CA","san jose, CA",225,368.852,3497
Van,0,1,"campbell, CA","sylmar, CA",300,337.079,4500
SUV,1,1,"rancho cordova, CA","huntington park, CA",185,393.617,4259
Car,0,1,"sunnyvale, CA","oakland, CA",175,47.043,3497
Car,0,1,"san mateo, CA","pasadena, CA",225,381.356,3497
Car,0,1,"south gate, CA","santa paula, CA",175,88.8325,3497
Car,1,1,"sun valley, CA","gardena, CA",70,30.9735,3497
SUV,0,1,"san diego, CA","gardena, CA",100,107.527,4259
Car,0,1,"woodland hills, CA","ontario, CA",60,65.9341,3497
SUV,0,1,"tracy, CA","valencia, CA",200,289.855,4259
Car,0,1,"folsom, CA","sacramento, CA",55,23.0126,3497
Car,0,1,"bay point, CA","fresno, CA",125,181.159,3497
Other,0,1,"fontana, CA","lynwood, CA",550,52.9865,
Car,0,1,"ontario, CA","san jose, CA",200,377.358,3497
Car,0,1,"newport beach, CA","san francisco, CA",300,428.571,3497
Pickup,0,1,"downey, CA","sacramento, CA",325,401.235,6000
Car,1,1,"van nuys, CA","fontana, CA",150,63.0252,3497
Car,0,1,"hayward, CA","sun valley, CA",175,350,3497
Car,0,1,"rosemead, CA","folsom, CA",200,416.667,3497
