listingId,formattedCompany,comparable,delivery.state,delivery.latitude,delivery.longitude,numVehicles,vehiclesCount,vehicleOperable,vehicles,wideLoad,pickup.state,pickup.latitude,pickup.longitude,preferred_shipper,price,rating_count,rating_license,rating_score
41468684,Schumacher Cargo Logistics Inc.,1,GA,32.182094,-81.197620,1,1,1,(Motorcycle),0,AL,32.407413,-85.104656,0,250,785,1,99.6%
41451299,Syngin Technology Inc.,1,GA,33.621890,-84.521194,2,2,0,(2 Car),0,AL,33.623474,-86.203040,0,275,32,1,96.9%
41436035,"A.T. Trade, Inc",1,GA,33.784859,-84.198640,1,1,0,(SUV),0,AL,34.662910,-86.988182,0,125,128,1,100.0%
41398869,Classic Cadillac Atlanta Corp,1,GA,33.983238,-84.323001,1,1,1,(SUV),0,AL,31.903154,-85.869093,0,150,176,1,100.0%
41491984,Ready Auto Transport (RAT),1,GA,33.724791,-84.580202,1,1,0,(Other),0,AL,33.331888,-85.510222,0,125,1699,1,99.9%
41487702,McGrath Buick Cadillac GMC,1,IA,42.053650,-91.686840,1,1,1,(Car),0,AL,33.603374,-86.494434,0,450,640,1,100.0%
41477297,Montway Inc.,1,ID,43.560522,-116.289073,1,1,1,(SUV),0,AL,34.711400,-86.549321,0,800,1701,1,100.0%
41489637,Banclease Acceptance Corporaton,1,IL,42.038694,-87.793083,1,1,1,(Car),0,AL,33.603374,-86.494434,0,350,3,1,100.0%
41489618,Wholesale Inc,1,KY,36.748127,-86.560770,1,1,1,(Car),0,AL,33.540920,-86.674476,0,175,1162,1,99.6%
41452516,Angels Moving Autos,1,KY,38.162475,-85.792809,1,1,0,(Car),0,AL,33.540920,-86.674476,0,350,600,1,99.7%
41485218,McMillon Movement Inc.,0,LA,30.450600,-91.154700,1,1,0,(Car),0,AL,30.694500,-88.043100,0,180,202,1,98.0%
41488431,MetroGistics LLC,1,LA,30.225369,-90.925334,1,1,1,(Car),0,AL,30.665624,-88.103864,0,125,2680,1,100.0%
41465680,Car Delivery USA Inc,1,MA,42.131775,-71.973205,1,1,1,(Car),0,AL,34.709737,-86.742356,0,475,2015,1,99.6%
41489497,Toby's Auto Sale Inc.,1,MD,39.200371,-76.747374,1,1,1,(Car),0,AL,33.603374,-86.494434,0,250,7,1,100.0%
41411614,Secure Auto Shipping Inc. 1,1,MD,39.432812,-76.292424,1,1,1,(Car),0,AL,33.520800,-86.802700,0,450,1997,1,100.0%
41368207,Premium Auto Movers LLC,1,MD,39.712053,-76.649742,1,1,1,(Car),0,AL,34.804218,-86.592350,0,351,606,1,100.0%
41476274,Ship A Car Inc.,1,MI,42.759937,-83.410432,1,1,1,(Other),0,AL,34.722068,-86.468098,0,600,2170,1,100.0%
41445942,Reindeer Logistics Inc. (prev. Reindeer Au...,1,MI,42.464700,-83.376400,1,1,1,(Car),0,AL,34.709737,-86.742356,0,400,983,1,99.4%
41388892,Auto Shipping Group Inc.,1,MI,43.801688,-82.733578,1,1,1,(SUV),0,AL,30.282220,-87.564980,0,375,950,1,99.5%
41476286,United Auto Transport,1,MI,43.801688,-82.733578,1,1,1,(SUV),0,AL,30.282220,-87.564980,0,450,1189,1,99.6%
41482085,BWT Group LLC,1,MN,44.501358,-96.387234,1,1,1,(Car),0,AL,33.499292,-86.880368,0,500,1034,1,98.3%
41485300,74 Auto,1,MO,36.898695,-89.576952,1,1,1,(SUV),0,AL,30.808850,-88.178103,0,400,435,1,100.0%
41488234,GSS,1,MO,38.802758,-91.246612,1,1,1,(Motorcycle),0,AL,34.407120,-85.704552,0,300,14,1,100.0%
41280826,Heartland Auto Shippers,1,MT,48.052440,-113.863717,1,1,1,(SUV),0,AL,34.821601,-86.731102,0,1150,404,1,100.0%
41485006,RoadRunner Auto Transport,1,NC,35.671387,-75.496086,1,1,1,(Car),0,AL,33.540920,-86.674476,0,500,2593,1,100.0%
41427841,Nationwide Transport Services LLC,1,NC,35.419708,-80.675816,1,1,1,(Car),0,AL,33.088424,-86.067168,0,225,3521,1,100.0%
41476556,BWT Group LLC,1,NE,41.295474,-95.999814,1,1,1,(SUV),0,AL,32.485808,-85.121304,0,680,1034,1,98.3%
41337230,BWT Group LLC,1,NJ,40.935483,-74.421716,1,1,0,(Car),0,AL,31.368425,-85.869335,0,500,1034,1,98.3%
41403193,Auto Transport 123,1,NJ,39.394661,-74.517904,1,1,1,(Motorcycle),0,AL,34.052526,-85.928538,0,250,2304,1,100.0%
41461278,Auto Driveaway NJ,1,NJ,41.112803,-74.496232,1,1,1,(Car),0,AL,33.928320,-86.096080,0,450,552,1,99.8%
